TF,olfactory,forebrain,rest,trigeminal,epibranchial,otic,adenohypophyseal,otic_vesicle,epibranchial_neurulation,trigeminal__neurulation,otic__neurulation,lens
Bnc2,0,0,1,1,0,0,0,0,1,1,0,1
Zfp65,1,1,1,0,0,0,0,1,1,1,0,1
Zfp398,1,1,1,0,1,1,1,1,1,1,1,1
Zfp597,1,1,0,0,0,0,0,1,0,0,0,0
Satb2,1,1,1,0,1,1,0,1,1,1,1,1
Zfp383,0,0,0,0,0,0,0,1,1,0,1,1
Zscan29,1,1,0,0,0,0,0,1,0,1,0,1
Zhx1,1,1,1,0,1,0,1,1,1,1,1,1
Zbtb45,1,1,0,0,0,0,0,1,1,1,1,1
Zfp12,1,1,0,0,0,0,0,1,0,1,1,1
Zfp612,1,1,1,0,1,0,1,1,1,1,1,1
Zbtb26,1,1,1,0,1,1,1,1,1,1,1,1
Zfp449,1,1,0,0,0,0,0,0,0,0,0,0
Tlx3,0,0,0,0,0,0,0,0,1,1,1,0
Irx1,0,0,1,1,1,1,1,1,1,1,1,1
Zkscan7,1,1,0,0,0,0,0,0,0,0,0,0
Zfp738,1,1,1,0,0,0,0,1,1,1,1,1
Zfp13,1,1,1,0,0,0,0,1,0,0,1,0
Rbak,1,1,0,0,0,0,0,1,0,1,0,1
Zfp7,1,1,1,0,1,1,1,1,1,1,1,1
2610021A01Rik,1,1,1,0,0,1,1,1,1,1,1,1
Zfp9,1,1,0,0,0,0,0,0,1,1,0,0
Zfp605,1,1,1,1,1,0,1,1,1,1,0,1
Zfp87,0,0,0,0,0,0,0,1,1,0,0,1
Zfp72,0,0,0,0,0,0,0,1,0,0,0,1
Zfp58,1,1,0,0,0,0,0,1,1,1,1,1
Zfp850,1,1,1,0,0,0,1,1,0,1,0,1
Zfp626,1,1,0,0,0,0,0,1,0,0,0,0
Zfp248,1,1,1,0,0,0,0,1,1,1,1,1
Zfp334,1,1,1,0,1,1,1,1,1,1,1,1
Zscan22,1,1,1,0,0,0,0,1,0,0,0,1
Zfp213,1,1,1,1,1,1,0,1,1,1,1,1
Zfp995,1,1,1,0,0,0,0,1,1,1,0,1
Zfp994,1,1,0,0,0,0,0,0,0,0,0,0
Zfp991,1,1,1,1,1,1,1,1,1,1,0,1
Zfp946,1,1,1,0,0,0,0,1,1,1,1,1
Zfp820,1,1,1,0,0,0,0,1,1,1,0,1
Zfp984,1,1,0,0,0,0,0,0,0,0,0,0
Zfp28,0,0,0,0,0,0,0,0,1,1,0,0
Prdm12,0,0,0,0,0,0,0,0,0,1,1,0
Zfp316,0,0,0,0,0,0,0,0,0,0,0,1
Zbtb8a,1,1,0,1,0,0,0,0,1,1,0,1
Zkscan8,1,1,1,0,1,0,1,1,1,1,0,1
Zfp84,1,1,1,0,0,0,1,1,1,1,1,1
Fhl2,1,1,1,1,1,0,0,0,1,1,1,1
Gtf3c5,1,1,1,0,0,0,0,1,1,1,1,1
Hcfc2,0,0,0,0,0,0,0,0,1,1,1,0
Ncald,1,1,1,0,0,1,1,0,0,0,0,0
Zbtb46,1,1,1,0,0,0,0,1,1,1,1,1
Zhx3,0,0,1,0,0,0,0,0,1,1,1,1
Zfp503,1,1,1,1,1,1,1,1,1,1,0,1
Polr3a,1,1,1,0,1,1,1,1,1,1,1,1
Zfp438,1,1,1,0,0,0,0,1,1,1,1,1
Zscan18,1,1,1,0,1,0,1,1,1,1,0,1
Zbtb34,1,1,1,0,0,0,0,1,1,0,0,1
Zxdc,1,1,0,0,0,0,0,1,1,1,0,1
Zfp563,0,0,0,0,0,0,0,0,0,1,0,0
Zfp952,1,1,1,0,0,0,0,1,0,0,1,0
Zfp955a,1,1,1,0,0,0,0,1,1,1,0,1
Zfp811,1,1,1,0,0,0,0,1,1,1,1,1
Zfp472,1,1,1,0,0,0,0,1,0,1,1,1
Zfp286,1,1,1,0,0,0,0,1,1,1,1,1
